X,Y,Z,Angle
0,0,0,0
0,0,65,0
0,0,130,0
0,0,170,0
0,0,250,0
0,0,300,0
0,0,330,0
0,0,370,0
0,0,440,0
0,0,550,0
0,0,550,1.570796327
0,0,550,-1.570796327
0,0,640,0
0,0,730,0
0,0,369,1.884955592
-190.2113033,0,307.1966011,1.884955592
-332.8697807,0,260.844052,1.884955592
-370.9120414,0,248.4833722,1.884955592
-532.5916491,0,195.9504832,1.884955592
-580.1444749,0,180.4996334,1.884955592
-684.7606917,0,146.5077641,1.884955592
-779.8663434,0,115.6060646,1.884955592
-817.908604,0,103.2453848,1.884955592
-989.0987769,0,47.62232585,1.884955592
-989.0987769,0,47.62232585,1.884955592
-1008.119907,0,41.44198596,1.884955592
-1055.672733,0,25.99113624,1.884955592
-1160.28895,0,-8.000733137,1.884955592
-1302.947427,0,-54.35328229,1.884955592
-1398.053079,0,-85.25498173,1.884955592
-1474.1376,0,-109.9763413,1.884955592
-1626.306643,0,-159.4190604,1.884955592
-1645.327773,0,-165.5994003,1.884955592
-1740.433425,0,-196.5010997,1.884955592
-1835.539076,0,-227.4027991,1.884955592
-1835.539076,0,-227.4027991,5.026548246
-1740.433425,0,-196.5010997,5.026548246
-1645.327773,0,-165.5994003,5.026548246
-1626.306643,0,-159.4190604,5.026548246
-1474.1376,0,-109.9763413,5.026548246
-1398.053079,0,-85.25498173,5.026548246
-1302.947427,0,-54.35328229,5.026548246
-1160.28895,0,-8.000733137,5.026548246
-1055.672733,0,25.99113624,5.026548246
-1008.119907,0,41.44198596,5.026548246
-951.0565163,0,59.98300563,5.026548246
-1930.644728,0,-258.3044986,1.884955592
-2025.75038,0,-289.206198,1.884955592
-2120.856031,0,-320.1078975,1.884955592
-2234.982813,0,-357.1899368,1.884955592
-2320.5779,0,-385.0014663,1.884955592
-2415.683551,0,-415.9031657,1.884955592
-2510.789203,0,-446.8048651,1.884955592
-2605.894855,0,-477.7065646,1.884955592
-2681.979376,0,-502.4279241,1.884955592
-2681.979376,0,-502.4279241,0.3141592654
-2681.979376,0,-502.4279241,5.026548246
-2605.894855,0,-477.7065646,0.3141592654
-2605.894855,0,-477.7065646,5.026548246
-2510.789203,0,-446.8048651,5.026548246
-2415.683551,0,-415.9031657,5.026548246
-2320.5779,0,-385.0014663,5.026548246
-2234.982813,0,-357.1899368,5.026548246
-2120.856031,0,-320.1078975,5.026548246
-2025.75038,0,-289.206198,5.026548246
-1930.644728,0,-258.3044986,5.026548246